,WQI,WGI_d,Soda_Ash,Liquid_Chlorine,Liquid_Polyaluminium_Chloride,Hydrated_Lime,Aluminium_Sulphate,wtp
WQI,1.0,-0.011791638954606658,-0.15089757838810003,-0.17365308531920115,,,-0.02623149707401164,Kuala Kubu Bharu
WGI_d,-0.011791638954606658,1.0,-0.08553828202296405,-0.040763086864866384,,,-0.8486088998613853,Kuala Kubu Bharu
Soda_Ash,-0.15089757838810003,-0.08553828202296405,1.0,0.962250314290597,,,0.11668139031142234,Kuala Kubu Bharu
Liquid_Chlorine,-0.17365308531920115,-0.040763086864866384,0.962250314290597,1.0,,,0.0730098104252784,Kuala Kubu Bharu
Liquid_Polyaluminium_Chloride,,,,,,,,Kuala Kubu Bharu
Hydrated_Lime,,,,,,,,Kuala Kubu Bharu
Aluminium_Sulphate,-0.02623149707401164,-0.8486088998613853,0.11668139031142234,0.0730098104252784,,,1.0,Kuala Kubu Bharu
WQI,1.0,-0.07371961550493167,,0.10448218584644682,-0.08838248053959355,-0.25005123477968594,,Rantau Panjang New
WGI_d,-0.07371961550493167,1.0,,-0.6398245236320188,-0.9205784695126256,-0.3484560780676875,,Rantau Panjang New
Soda_Ash,,,,,,,,Rantau Panjang New
Liquid_Chlorine,0.10448218584644682,-0.6398245236320188,,1.0,0.6193580595572704,0.8517626906184173,,Rantau Panjang New
Liquid_Polyaluminium_Chloride,-0.08838248053959355,-0.9205784695126256,,0.6193580595572704,1.0,0.3983061991778916,,Rantau Panjang New
Hydrated_Lime,-0.25005123477968594,-0.3484560780676875,,0.8517626906184173,0.3983061991778916,1.0,,Rantau Panjang New
Aluminium_Sulphate,,,,,,,,Rantau Panjang New
WQI,,,,,,,,Rantau Panjang Old
WGI_d,,1.0,,0.18074242534705467,-0.4125755400911577,0.08006777398908052,,Rantau Panjang Old
Soda_Ash,,,,,,,,Rantau Panjang Old
Liquid_Chlorine,,0.18074242534705467,,1.0,0.3872284087230184,0.9004679023282117,,Rantau Panjang Old
Liquid_Polyaluminium_Chloride,,-0.4125755400911577,,0.3872284087230184,1.0,0.3964176441086282,,Rantau Panjang Old
Hydrated_Lime,,0.08006777398908052,,0.9004679023282117,0.3964176441086282,1.0,,Rantau Panjang Old
Aluminium_Sulphate,,,,,,,,Rantau Panjang Old
WQI,1.0,0.5777238730915181,,-0.6849619968362279,-0.3317051656639733,-0.5593952205844323,,Rasa
WGI_d,0.5777238730915181,1.0,,-0.807540833394307,0.14472448258710266,-0.3969666804525351,,Rasa
Soda_Ash,,,,,,,,Rasa
Liquid_Chlorine,-0.6849619968362279,-0.807540833394307,,1.0,-0.04381145030818348,0.5996032161972138,,Rasa
Liquid_Polyaluminium_Chloride,-0.3317051656639733,0.14472448258710266,,-0.04381145030818348,1.0,0.5132564121017646,,Rasa
Hydrated_Lime,-0.5593952205844323,-0.3969666804525351,,0.5996032161972138,0.5132564121017646,1.0,,Rasa
Aluminium_Sulphate,,,,,,,,Rasa
WQI,1.0,-0.1695458325974346,-0.13283619730561635,-0.37673922753372485,,,0.048012309070225474,Sungai Rangkap
WGI_d,-0.1695458325974346,1.0,-0.7331780306667341,-0.38926742339432013,,,-0.8088204045460854,Sungai Rangkap
Soda_Ash,-0.13283619730561635,-0.7331780306667341,1.0,0.22053052516094315,,,0.9374443272902929,Sungai Rangkap
Liquid_Chlorine,-0.37673922753372485,-0.38926742339432013,0.22053052516094315,1.0,,,0.08217828405415939,Sungai Rangkap
Liquid_Polyaluminium_Chloride,,,,,,,,Sungai Rangkap
Hydrated_Lime,,,,,,,,Sungai Rangkap
Aluminium_Sulphate,0.048012309070225474,-0.8088204045460854,0.9374443272902929,0.08217828405415939,,,1.0,Sungai Rangkap
WQI,1.0,-0.24479934093532146,,-0.1445112271962683,-0.2020485570885691,-0.43830976738209565,,Sungai Selangor Fasa 1
WGI_d,-0.24479934093532146,1.0,,-0.7677260962278043,-0.5323114674708171,-0.21949354051268904,,Sungai Selangor Fasa 1
Soda_Ash,,,,,,,,Sungai Selangor Fasa 1
Liquid_Chlorine,-0.1445112271962683,-0.7677260962278043,,1.0,0.6919661485162801,0.5223002637220391,,Sungai Selangor Fasa 1
Liquid_Polyaluminium_Chloride,-0.2020485570885691,-0.5323114674708171,,0.6919661485162801,1.0,0.7297465861357544,,Sungai Selangor Fasa 1
Hydrated_Lime,-0.43830976738209565,-0.21949354051268904,,0.5223002637220391,0.7297465861357544,1.0,,Sungai Selangor Fasa 1
Aluminium_Sulphate,,,,,,,,Sungai Selangor Fasa 1
WQI,1.0,0.19644998196600033,,0.1910277001800402,,0.05316574485670549,-0.238797582042976,Sungai Selangor Fasa 2 Stream C
WGI_d,0.19644998196600033,1.0,,-0.2702022870444441,,-0.4672906566207908,-0.4194558519574945,Sungai Selangor Fasa 2 Stream C
Soda_Ash,,,,,,,,Sungai Selangor Fasa 2 Stream C
