,WQI,WGI_d,all_chem,Soda_Ash,Liquid_Chlorine,Liquid_Polyaluminium_Chloride,Hydrated_Lime,Aluminium_Sulphate,wtp
WQI,1.0,0.21326979121896503,-0.48940635541165706,-0.4127109517052041,-0.23617347193940377,,,-0.4295575634436531,Batang Kali
WGI_d,0.21326979121896503,1.0,-0.39513921575806626,-0.42883603168704904,-0.10973996178378946,,,-0.32859855516636094,Batang Kali
all_chem,-0.48940635541165706,-0.39513921575806626,1.0,0.7257527692437417,0.556691665165261,,,0.9071230318907635,Batang Kali
Soda_Ash,-0.4127109517052041,-0.42883603168704904,0.7257527692437417,1.0,0.5703527837025544,,,0.41140736976899833,Batang Kali
Liquid_Chlorine,-0.23617347193940377,-0.10973996178378946,0.556691665165261,0.5703527837025544,1.0,,,0.2435642691390353,Batang Kali
Liquid_Polyaluminium_Chloride,,,,,,,,,Batang Kali
Hydrated_Lime,,,,,,,,,Batang Kali
Aluminium_Sulphate,-0.4295575634436531,-0.32859855516636094,0.9071230318907635,0.41140736976899833,0.2435642691390353,,,1.0,Batang Kali
WQI,1.0,0.44589161072075345,-0.7123895867541257,-0.6856049542354538,-0.17849529913315054,,,-0.5075830198709146,Kuala Kubu Bharu
WGI_d,0.44589161072075345,1.0,-0.6088730608092875,-0.5489225717210933,-0.07927144991758718,,,-0.6924249355297457,Kuala Kubu Bharu
all_chem,-0.7123895867541257,-0.6088730608092875,1.0,0.9922434411659584,0.1419356469081201,,,0.5130241373876322,Kuala Kubu Bharu
Soda_Ash,-0.6856049542354538,-0.5489225717210933,0.9922434411659584,1.0,0.1460690267887541,,,0.4025339277939887,Kuala Kubu Bharu
Liquid_Chlorine,-0.17849529913315054,-0.07927144991758718,0.1419356469081201,0.1460690267887541,1.0,,,-0.014363937184141964,Kuala Kubu Bharu
Liquid_Polyaluminium_Chloride,,,,,,,,,Kuala Kubu Bharu
Hydrated_Lime,,,,,,,,,Kuala Kubu Bharu
Aluminium_Sulphate,-0.5075830198709146,-0.6924249355297457,0.5130241373876322,0.4025339277939887,-0.014363937184141964,,,1.0,Kuala Kubu Bharu
WQI,1.0,0.05511038829541096,-0.21505658552077353,,0.08605512936482629,-0.0918975580669429,-0.2430834803139168,,Rantau Panjang New
WGI_d,0.05511038829541096,1.0,-0.6593405999287502,,-0.12260234114361064,-0.7550397292495321,-0.12471385812388508,,Rantau Panjang New
all_chem,-0.21505658552077353,-0.6593405999287502,1.0,,0.5075994148533498,0.7721267942376332,0.608841190756772,,Rantau Panjang New
Soda_Ash,,,,,,,,,Rantau Panjang New
Liquid_Chlorine,0.08605512936482629,-0.12260234114361064,0.5075994148533498,,1.0,0.46027202753685503,0.1433705141074786,,Rantau Panjang New
Liquid_Polyaluminium_Chloride,-0.0918975580669429,-0.7550397292495321,0.7721267942376332,,0.46027202753685503,1.0,-0.030403059233522534,,Rantau Panjang New
Hydrated_Lime,-0.2430834803139168,-0.12471385812388508,0.608841190756772,,0.1433705141074786,-0.030403059233522534,1.0,,Rantau Panjang New
Aluminium_Sulphate,,,,,,,,,Rantau Panjang New
WQI,1.0,0.4246901023954721,0.02601999688122316,,-0.26302077624409725,0.0728814040873797,-0.16814285439426985,,Rantau Panjang Old
WGI_d,0.4246901023954721,1.0,-0.165305033593524,,-0.014365333201410133,-0.16596597336091534,-0.08014234725598607,,Rantau Panjang Old
all_chem,0.02601999688122316,-0.165305033593524,1.0,,0.463274487681226,0.9853285776973454,0.25470844746129606,,Rantau Panjang Old
Soda_Ash,,,,,,,,,Rantau Panjang Old
Liquid_Chlorine,-0.26302077624409725,-0.014365333201410133,0.463274487681226,,1.0,0.3214592085738469,0.6183483662943686,,Rantau Panjang Old
Liquid_Polyaluminium_Chloride,0.0728814040873797,-0.16596597336091534,0.9853285776973454,,0.3214592085738469,1.0,0.1045692873879152,,Rantau Panjang Old
Hydrated_Lime,-0.16814285439426985,-0.08014234725598607,0.25470844746129606,,0.6183483662943686,0.1045692873879152,1.0,,Rantau Panjang Old
Aluminium_Sulphate,,,,,,,,,Rantau Panjang Old
WQI,1.0,0.261497126274118,-0.1824588469998143,,-0.34664303119854806,-0.12383762611709295,-0.05583265287545991,,Rasa
WGI_d,0.261497126274118,1.0,0.2163639709584591,,-0.05693113668712849,0.28364750217362894,-0.25554454538184884,,Rasa
all_chem,-0.1824588469998143,0.2163639709584591,1.0,,0.3020302384565141,0.968584985998739,0.5433945591467914,,Rasa
Soda_Ash,,,,,,,,,Rasa
Liquid_Chlorine,-0.34664303119854806,-0.05693113668712849,0.3020302384565141,,1.0,0.0782290579391901,0.4019005518061801,,Rasa
Liquid_Polyaluminium_Chloride,-0.12383762611709295,0.28364750217362894,0.968584985998739,,0.0782290579391901,1.0,0.3850316819616112,,Rasa
Hydrated_Lime,-0.05583265287545991,-0.25554454538184884,0.5433945591467914,,0.4019005518061801,0.3850316819616112,1.0,,Rasa
Aluminium_Sulphate,,,,,,,,,Rasa
